Price,Close,High,Low,Open,Volume
Ticker,OVV,OVV,OVV,OVV,OVV
Date,,,,,
2015-07-28,30.47223663330078,31.31423203373484,29.189196314449777,29.63024123286672,2893940
2015-07-29,31.274154663085938,31.87558071429913,29.91092166853382,30.512347719747012,2249800
2015-07-30,30.63263511657715,31.554819922020993,30.35196778178114,31.19396672715798,1694600
2015-07-31,30.432161331176758,31.39444370485648,30.351969348946835,30.71282562145315,1457740
2015-08-03,29.870830535888672,30.752920952270077,29.42978532769797,30.071305908612757,1095960
2015-08-04,29.349590301513672,30.43215903743699,29.068926032391577,30.071302792129217,1485680
2015-08-05,27.184459686279297,30.23168450687129,27.10426770791484,29.830733792082572,3560320
2015-08-06,28.667966842651367,28.86844213525732,26.42264417726673,27.22454534769054,2938800
2015-08-07,27.745784759521484,28.9486367530096,27.22455073108312,28.467497179218675,3170020
2015-08-10,29.991111755371094,30.11139512263207,27.58540770202082,27.986358377579197,3165240
2015-08-11,29.109018325805664,29.269399207236535,27.94626075919546,29.109018325805664,3613600
2015-08-12,29.189212799072266,29.870827779839995,28.38731138216381,29.189212799072266,3230000
2015-08-13,27.224550247192383,28.908541784540056,27.104263826377228,28.78825842273565,1790180
2015-08-14,27.505216598510742,27.946261743725227,27.104265910313764,27.505216598510742,1953360
2015-08-17,27.384929656982422,27.82597474469298,27.024073472851747,27.304737694391942,1597540
2015-08-18,27.625499725341797,27.625499725341797,26.943881801502663,27.224549085087233,1474060
2015-08-19,26.061790466308594,27.505212095717436,25.741028744657523,27.42502319480991,1951480
2015-08-20,25.34008026123047,26.462741725502237,25.259889828888497,25.861315777195365,1185480
2015-08-21,24.899038314819336,25.781131706402626,24.45799314853326,25.259894563239268,1692840
2015-08-24,23.375423431396484,24.4980849859488,22.252761876844165,23.215044083320667,1548640
2015-08-25,24.01694679260254,26.22217557381125,24.01694679260254,25.660843999519564,2078440
2015-08-26,25.09950828552246,25.34007957604341,23.575896230244062,24.7787480943331,2903700
2015-08-27,27.465120315551758,28.106640762215044,25.861317669388153,25.861317669388153,2247540
2015-08-28,28.38730239868164,29.189203561819426,27.264639546684673,27.34482843939438,2682520
2015-08-31,29.830726623535156,30.1514852828787,27.064166744515884,28.066543290609065,2915280
2015-09-01,27.344837188720703,28.70807021404061,27.024078456240883,28.66797575485703,3062960
2015-09-02,27.384929656982422,27.946258100062813,26.382553067180876,27.745782782102506,2719680
2015-09-03,27.986352920532227,29.14910720571785,26.66321472558337,27.465115920337755,2890360
2015-09-04,27.384929656982422,27.785880292903038,27.06416792464169,27.665593878522618,1299680
2015-09-08,27.785888671875,28.70807357717548,27.384937915045704,28.50759819876083,2524360
2015-09-09,27.906164169311523,29.630253159565047,27.705688847608123,28.186831455102677,2534680
2015-09-10,28.90855598449707,29.710457693132287,27.22456361996802,28.146748749491167,2749900
2015-09-11,29.23244857788086,29.434889366062865,27.93682876911655,29.110985958372428,2410180
2015-09-14,28.74659538269043,29.191964552509248,28.260738668161114,28.90854865053409,2002200
2015-09-15,29.03000259399414,29.59683731725359,28.706099244274977,28.787074309454585,1365520
2015-09-16,30.770992279052734,31.41880202502216,29.556347846984863,29.556347846984863,2609800
2015-09-17,30.932960510253906,32.18809308180698,30.163684711882013,30.609053935465102,3173380
2015-09-18,29.27294158935547,30.447095785178988,28.949035066299754,30.366120698915825,2377520
2015-09-21,29.07050132751465,29.8802645612727,28.949035606850305,29.677823752833188,2018680
2015-09-22,28.139265060424805,29.27293452867533,27.855849237862568,28.42268088298704,1706260
2015-09-23,26.80315399169922,28.422679987306438,26.519738178068234,28.260729858946274,1495440
2015-09-24,27.20803451538086,27.612915999770458,26.033880681851485,26.15534327376802,1927660
2015-09-25,26.884130477905273,28.01779675113591,26.56022406326766,27.653405895919224,1835720
2015-09-28,25.386079788208008,26.51974810039334,25.305103149230288,26.438773005916545,1477800
2015-09-29,25.548025131225586,26.19583499200606,25.22412020083535,25.50753759411451,2564000
2015-09-30,26.074369430541992,26.600713531436032,25.18362981437434,25.709975459768746,2492860
2015-10-01,26.84364128112793,27.81535428668887,26.398269216412135,26.924616335257905,2836720
2015-10-02,29.07050132751465,29.151476415289817,26.47925836168857,26.560233449463738,2226600
2015-10-05,30.69001007080078,31.378307186386103,29.59682848316551,29.637316003670563,2836180
2015-10-06,32.99785232543945,33.402733949064476,30.851978484626166,30.892469118189986,3742240
2015-10-07,34.25297927856445,35.548602120952935,32.5119904280128,34.17200420235318,3829820
2015-10-08,36.52031707763672,36.92519865538879,34.17200578007545,35.30567234438049,4481300
2015-10-09,35.46763229370117,37.37057792203446,34.98177554421286,37.00618381541729,2722060
2015-10-12,34.21249008178711,35.589087933647384,33.038332999641554,35.589087933647384,1744260
2015-10-13,33.969573974609375,34.98177818667162,32.9978573132292,33.20029815564165,2072220
2015-10-14,35.22470474243164,35.4271455742847,34.13152548602592,34.252988131736586,2125480
2015-10-15,35.62957763671875,35.791530880140435,33.7266355212672,34.98176775203319,2158300
2015-10-16,34.86029815673828,36.27738347277643,34.49590417195687,35.953480111082506,2057560
2015-10-19,33.52418899536133,34.49590211140025,32.87637613266783,34.25297383239052,1600800
2015-10-20,34.29347229003906,34.94128535912731,33.11931805257031,33.40273395354518,1633600
2015-10-21,32.95737075805664,33.9695750006935,32.63346416481196,33.88859680788123,1796300
2015-10-22,33.20029067993164,34.29346974720687,32.916874799971815,33.11931559680067,1354880
2015-10-23,32.5524787902832,33.362241928902186,32.18808476010442,32.91687282046199,2034280
2015-10-26,30.406597137451172,32.51198259041608,30.285134552414995,32.471491973070286,2047020
2015-10-27,30.042217254638672,30.244658080044594,29.030013127609042,29.758801334671116,1682580
2015-10-28,31.337831497192383,32.147594569011304,30.001721193090777,30.406602729000237,2732820
2015-10-29,30.892454147338867,32.026120290699836,30.770988483514408,31.013916722163177,2804440
2015-10-30,30.892454147338867,31.337823099694965,29.43487853744596,31.013916722163177,3803740
2015-11-02,30.851970672607422,31.337830351334045,30.163673322329114,30.528067309123866,1652700
2015-11-03,32.633445739746094,33.119305355293456,31.05440739496796,31.094898013013918,2479920
2015-11-04,32.10709762573242,32.99783550814363,31.25684417824891,32.51197904301026,2543520
2015-11-05,32.26905822753906,33.07882132573579,31.45929512934234,31.702226530002218,2643880
2015-11-06,32.592960357666016,32.79540110522916,31.418803403999654,31.82368489912594,1956420
2015-11-09,32.592960357666016,33.48369841134358,31.742709835700946,32.51198529424102,1762680
2015-11-10,31.41880989074707,32.95736112547748,31.37832235067549,32.35003875739989,2063400
2015-11-11,30.163681030273438,31.378325903975725,29.596846138078707,31.337838359319313,2026700
2015-11-12,30.770992279052734,31.1353862264732,28.62511921346595,28.989513160886418,3799020
2015-11-13,32.87638854980469,33.15980755652824,30.32563602330364,30.487589300145412,4268280
2015-11-16,33.76713180541992,33.807619354511154,31.82369855902088,32.7954151822204,2753880
2015-11-17,33.28125762939453,33.76711727644449,32.63344785566191,33.483698376748514,2359680
2015-11-18,34.09103012084961,34.4959117284084,33.11931673390973,33.68614851329082,2028720
2015-11-19,32.592960357666016,34.49590214915929,32.55247282595352,33.68613915890672,1508440
2015-11-20,31.337831497192383,32.835891944456996,30.932949961282922,32.59296364071152,2156540
2015-11-23,32.30955123901367,33.32175518648902,31.297347291538323,31.62125070132965,2521560
2015-11-24,34.57687759399414,34.981759057415616,32.79539853713956,32.876373594223686,2479440
2015-11-25,34.29347229003906,35.34616698280665,33.44322149811279,33.84810312179212,1620560
2015-11-27,33.038333892822266,34.25297854394809,32.835893117634626,33.72663438186088,648660
2015-11-30,33.76713180541992,34.09103528715177,32.957368467587315,33.40273768559485,1746020
2015-12-01,33.605159759521484,34.212481923850184,33.40271903807859,33.767112954475856,1386140
2015-12-02,30.97344207763672,33.32175656879668,30.89246699408007,33.20029085446027,2071540
2015-12-03,30.69001007080078,31.62123539841623,30.44707876977085,31.418794706891155,2669280
2015-12-04,29.27294158935547,30.24465498051955,29.030010152562916,30.163679894256386,2752240
2015-12-07,27.16754913330078,28.42268121637115,26.64120501536847,28.34170614868951,3198720
2015-12-08,27.20803451538086,27.653406619409886,25.79095086451755,26.27680895468513,3954140
2015-12-09,27.289026260375977,28.706112161696666,26.88414457428435,27.370001361993452,1981980
2015-12-10,26.398279190063477,27.208042393304705,26.074375762167872,26.8841389654091,4004900
2015-12-11,24.720258712768555,25.907157584884164,24.597474724908956,25.907157584884164,2583640
2015-12-14,22.673871994018555,23.533350248141232,22.223667835122566,23.451494804590805,4879840
2015-12-15,22.55108070373535,23.61519800080892,22.019022835829677,23.246849405425333,4053320
2015-12-16,21.691612243652344,22.632946047633734,21.24140959517604,22.469236703307306,3590360
2015-12-17,20.381919860839844,21.56881945124767,19.89078894200688,21.527890963942,3628700
2015-12-18,20.545631408691406,21.118616199723217,20.21821130506434,20.300065160024452,1938960
2015-12-21,20.13636016845703,20.832129012326362,19.849866931421126,20.340997971873744,2124340
2015-12-22,19.11317253112793,20.13636162207415,19.031317091599703,20.095433121678713,2568360
2015-12-23,20.913984298706055,21.118622115958612,19.563375017091722,19.686157395190726,2759220
2015-12-24,20.627492904663086,21.07769548468528,20.340999644075026,21.03676854514241,731880
2015-12-28,19.93172264099121,20.34099825349098,19.76801177148628,20.300069755483467,1110420
2015-12-29,20.545631408691406,21.241400104687795,19.931718128917332,21.077689272243163,1880780
2015-12-30,19.76801300048828,20.259144078274748,19.52244824222638,19.890795379619234,1047020
2015-12-31,20.832124710083008,20.95490705452356,19.686151998605286,19.849862832034162,1814480
2016-01-04,20.995832443237305,21.405107935547047,20.300063794058325,20.54563002620143,2534460
2016-01-05,21.568824768066406,21.978100374438586,20.627491185662898,20.87305592498119,3385020
2016-01-06,20.259136199951172,20.668411678738064,19.80893379779041,20.463773939344616,6285060
2016-01-07,19.276878356933594,20.463778111930512,19.031313644095377,19.4815161380529,4207460
2016-01-08,20.013574600219727,20.136356950394966,18.826674905580393,19.481515147356536,3636200
2016-01-11,19.317806243896484,20.054501920562647,19.15409539963186,19.972646498430336,3176180
2016-01-12,18.70389175415039,19.56336972982024,17.88534070636492,19.39966045702048,6042260
2016-01-13,17.271434783935547,19.52245112503167,17.025868428149145,19.07224692005471,3972300
2016-01-14,16.86215591430664,17.516996284056134,16.371024856363224,17.27143153571572,3193120
2016-01-15,15.10226821899414,16.452877203809823,14.774846534331418,15.798035395746677,3188100
2016-01-19,13.38331413269043,15.38876389073848,12.933110759362883,15.306910009348417,4276600
2016-01-20,14.324645042419434,14.365571975178526,12.278267179216657,12.974035964958084,5679460
2016-01-21,15.634329795837402,16.08453237635703,13.87444485208431,14.07908267255008,4080100
2016-01-22,16.739376068115234,17.680709827263726,16.371027328714035,16.78030301193189,4399120
2016-01-25,14.774850845336914,16.78030222336628,14.733923903443563,16.248244172438923,2483900
2016-01-26,15.42969036102295,15.83896595913357,14.406501365746394,15.184124065399073,1863280
2016-01-27,15.511540412902832,16.575655974409525,15.102264956744573,15.306902684823703,2599420
2016-01-28,17.926273345947266,18.171839675282975,15.552474863278373,16.739374885244178,5552060
